nodes,priority,delivery_mean,latency_mean,hop_mean
25,5,64.63299999999998,9655.189999999999,1.4354999999999998
25,4,50.48500000000001,7283.0215,1.5445
25,3,47.5965,7223.741499999999,1.6224999999999998
25,2,46.156000000000006,7343.8755,1.6695
25,1,42.823499999999996,7461.7429999999995,1.673
25,0,0.0,0.0,0.0
50,5,67.55749999999998,9210.758,2.8585000000000003
50,4,58.163,7334.723000000001,2.3499999999999996
50,3,59.046000000000014,7348.675499999999,2.2600000000000007
50,2,58.61550000000001,7412.496499999998,2.226
50,1,60.44750000000001,7409.053999999999,3.9239999999999995
50,0,0.0,0.0,0.0
75,5,68.75,8673.784,4.330500000000001
75,4,58.8685,7297.070499999999,2.9050000000000002
75,3,60.00849999999999,7347.9355,3.401
75,2,62.325,7253.6275,4.86
75,1,61.439,7313.977499999999,4.56
75,0,0.0,0.0,0.0
100,5,68.42850000000001,8627.550500000001,4.740500000000001
100,4,58.19,7244.581499999998,3.2385000000000006
100,3,59.605,7328.6205,3.9175000000000004
100,2,61.746500000000005,7227.5385,5.7165
100,1,59.38599999999999,7233.025499999999,4.5024999999999995
100,0,0.0,0.0,0.0
150,5,66.8065,8223.630000000001,5.564000000000001
150,4,57.459500000000006,7147.5815,3.461
150,3,58.45899999999999,7172.682000000001,4.6265
150,2,58.17999999999999,7170.496499999999,4.1825
150,1,62.819500000000005,7071.761,8.602
150,0,0.0,0.0,0.0
200,5,55.28549999999999,7699.164500000001,10.1645
200,4,50.208,6832.494500000001,10.230500000000003
200,3,52.956,6504.806,21.75
200,2,39.932500000000005,6602.2384999999995,6.093999999999999
200,1,32.843,6032.731499999999,5.8599999999999985
200,0,0.0,0.0,0.0
250,5,48.021,6948.466,13.518
250,4,47.842,6459.3775,22.885
250,3,44.1355,6480.698,20.055
250,2,34.89,6408.324000000001,8.578500000000002
250,1,29.5865,5823.790999999999,8.5275
250,0,0.0,0.0,0.0
300,5,44.364999999999995,7424.422500000001,16.576499999999996
300,4,45.354,6041.33,37.2275
300,3,33.9645,6406.028499999999,13.420000000000002
300,2,29.288,6024.5905,11.9735
300,1,24.749,5541.7905,13.227500000000001
300,0,0.0,0.0,0.0
400,5,37.826499999999996,7104.427000000001,28.471500000000002
400,4,37.2045,5833.595500000001,47.5955
400,3,27.440499999999997,6025.458,20.658000000000005
400,2,23.973000000000003,5741.845,21.130000000000003
400,1,20.379499999999997,5299.6,22.462
400,0,0.0,0.0,0.0
