protocol,load,run,delivery_prob,abort_prob,latency_avg,hopcount_avg,overhead_ratio,total_created,total_delivered,total_relays,total_aborted,P5_created,P5_delivered,P5_aborted,P5_relays,P4_created,P4_delivered,P4_aborted,P4_relays,P3_created,P3_delivered,P3_aborted,P3_relays,P2_created,P2_delivered,P2_aborted,P2_relays,P1_created,P1_delivered,P1_aborted,P1_relays,P5_deliveryRate,P5_avgLatency,P5_avgHops,P4_deliveryRate,P4_avgLatency,P4_avgHops,P3_deliveryRate,P3_avgLatency,P3_avgHops,P2_deliveryRate,P2_avgLatency,P2_avgHops,P1_deliveryRate,P1_avgLatency,P1_avgHops
prophet,low_load,run1,58.47,70.86,5130.01,4.87,18.14,2059.0,1204.0,21844.0,1459.0,411,275,327,5674,415,230,278,3149,409,231,277,2941,415,224,253,2647,409,244,324,7433,66.91,6320.87,5.3,55.42,4723.54,4.21,56.48,4831.96,3.73,53.98,4945.18,4.03,59.66,4622.85,6.86
prophet,low_load,run10,54.4,67.51,5089.54,4.43,17.05,2059.0,1120.0,19099.0,1390.0,411,261,315,4810,415,223,273,2529,409,202,243,2544,415,199,233,2250,409,235,326,6966,63.5,5716.61,4.01,53.73,4989.67,3.58,49.39,4747.47,4.15,47.95,5127.57,3.52,57.46,4749.7,6.7
prophet,low_load,run11,56.53,70.86,5483.27,4.46,16.36,2059.0,1164.0,19044.0,1459.0,411,281,324,5096,415,202,275,2635,409,211,263,2342,415,216,248,2186,409,254,349,6785,68.37,6811.92,5.62,48.67,5020.74,4.14,51.59,5143.65,3.35,52.05,5344.75,2.87,62.1,4781.17,5.7
prophet,low_load,run12,55.76,70.76,5150.18,4.25,16.74,2059.0,1148.0,19221.0,1457.0,411,261,318,4635,415,218,272,2920,409,212,263,2706,415,219,260,1988,409,238,344,6972,63.5,6100.75,4.23,52.53,4478.09,4.39,51.83,4884.37,3.66,52.77,5310.5,3.11,58.19,4812.61,5.69
prophet,low_load,run13,59.01,71.25,5024.44,4.89,17.87,2059.0,1215.0,21713.0,1467.0,411,276,331,5422,415,245,284,3210,409,225,255,2539,415,229,257,2504,409,240,340,8038,67.15,6085.75,4.87,59.04,4599.67,3.88,55.01,4715.86,4.16,55.18,5086.84,3.82,58.68,4467.31,7.64
prophet,low_load,run14,56.92,69.21,5193.95,4.33,16.9,2059.0,1172.0,19810.0,1425.0,411,270,321,4933,415,221,265,3015,409,219,260,2578,415,219,235,1904,409,243,344,7380,65.69,6368.52,4.19,53.25,4710.29,3.8,53.55,4962.04,4.0,52.77,4925.0,2.7,59.41,4780.15,6.74
prophet,low_load,run15,59.79,71.35,5234.55,4.46,17.3,2059.0,1231.0,21299.0,1469.0,411,264,305,5031,415,248,272,3020,409,231,277,2674,415,230,255,2248,409,258,360,8326,64.23,5916.94,4.59,59.76,5136.62,3.85,56.48,5244.65,3.78,55.42,5080.32,3.09,63.08,4758.9,6.74
prophet,low_load,run16,54.4,68.48,5326.65,4.76,16.24,2059.0,1120.0,18189.0,1410.0,411,257,318,4899,415,208,250,2629,409,199,256,2401,415,212,245,2470,409,244,341,5790,62.53,6247.81,4.84,50.12,5055.22,4.48,48.66,5178.1,4.1,51.08,5054.14,3.79,59.66,4945.73,6.27
prophet,low_load,run17,56.48,69.65,5125.67,4.5,16.42,2059.0,1163.0,19102.0,1434.0,411,261,310,4700,415,229,266,2660,409,212,276,2713,415,222,235,2101,409,239,347,6928,63.5,5652.92,4.42,55.18,5300.27,3.53,51.83,4948.47,4.23,53.49,4713.2,2.53,58.44,4922.88,7.56
prophet,low_load,run18,54.1,66.68,5218.68,4.51,17.44,2059.0,1114.0,19427.0,1373.0,411,246,309,5273,415,215,260,2567,409,204,252,2200,415,216,217,2105,409,233,335,7282,59.85,6238.44,5.36,51.81,5137.31,3.64,49.88,5106.22,3.43,52.05,5036.33,3.4,56.97,4484.63,6.4
