==========================================================================
PROPHET ADVANCED MESSAGE TRANSFER REPORT
==========================================================================
SimTime    | From       | To         | MsgID        | Priority       | Size(B)      | Type
==========================================================================
26.0       | p268       | p186       | D1           | 2 MEDIUM       | 966746       | RELAY
87.0       | p192       | p273       | E4           | 1 LOW          | 909546       | RELAY
92.0       | p428       | p346       | B3           | 4 HIGH         | 513892       | FINAL DELIVERY
100.0      | p262       | p183       | D2           | 2 MEDIUM       | 663906       | RELAY
112.5      | p343       | p52        | C2           | 3 MED-HIGH     | 946976       | RELAY
141.0      | p192       | p350       | E4           | 1 LOW          | 909546       | FINAL DELIVERY
163.5      | p351       | p181       | C6           | 3 MED-HIGH     | 809957       | RELAY
166.5      | p351       | p181       | C1           | 3 MED-HIGH     | 713769       | RELAY
180.5      | p354       | p189       | C7           | 3 MED-HIGH     | 723987       | RELAY
191.5      | p354       | p189       | C9           | 3 MED-HIGH     | 576273       | RELAY
243.0      | p57        | p341       | A2           | 5 DISTRESS     | 737018       | FINAL DELIVERY
245.5      | p268       | p265       | D1           | 2 MEDIUM       | 966746       | RELAY
246.5      | p341       | p57        | C12          | 3 MED-HIGH     | 568168       | RELAY
249.5      | p268       | p265       | D3           | 2 MEDIUM       | 992314       | RELAY
259.5      | p193       | p58        | E2           | 1 LOW          | 817103       | RELAY
260.0      | p275       | p50        | D12          | 2 MEDIUM       | 771874       | RELAY
262.5      | p275       | p50        | D7           | 2 MEDIUM       | 500752       | RELAY
265.5      | p275       | p50        | D4           | 2 MEDIUM       | 637156       | RELAY
266.5      | p275       | p50        | D5           | 2 MEDIUM       | 881795       | ABORTED
318.5      | p354       | p193       | C7           | 3 MED-HIGH     | 723987       | RELAY
319.5      | p184       | p269       | E9           | 1 LOW          | 873887       | RELAY
321.0      | p351       | p59        | C6           | 3 MED-HIGH     | 809957       | RELAY
321.0      | p354       | p193       | C9           | 3 MED-HIGH     | 576273       | RELAY
322.5      | p184       | p269       | E3           | 1 LOW          | 658109       | RELAY
324.0      | p351       | p59        | C1           | 3 MED-HIGH     | 713769       | RELAY
324.5      | p193       | p354       | E2           | 1 LOW          | 817103       | RELAY
326.0      | p184       | p269       | E10          | 1 LOW          | 798297       | RELAY
334.0      | p198       | p196       | E7           | 1 LOW          | 959375       | RELAY
336.5      | p434       | p273       | B1           | 4 HIGH         | 859903       | RELAY
340.5      | p273       | p434       | E4           | 1 LOW          | 909546       | RELAY
347.0      | p189       | p193       | E14          | 1 LOW          | 960154       | RELAY
350.5      | p193       | p189       | E2           | 1 LOW          | 817103       | RELAY
360.5      | p434       | p273       | B17          | 4 HIGH         | 765875       | RELAY
378.0      | p268       | p438       | D1           | 2 MEDIUM       | 966746       | RELAY
378.5      | p433       | p516       | B9           | 4 HIGH         | 851828       | RELAY
381.0      | p433       | p516       | B16          | 4 HIGH         | 587164       | RELAY
381.5      | p268       | p438       | D3           | 2 MEDIUM       | 992314       | ABORTED
385.0      | p182       | p188       | E6           | 1 LOW          | 520166       | RELAY
389.5      | p432       | p351       | B8           | 4 HIGH         | 633383       | RELAY
389.5      | p341       | p276       | C12          | 3 MED-HIGH     | 568168       | RELAY
393.0      | p351       | p432       | C6           | 3 MED-HIGH     | 809957       | RELAY
396.0      | p351       | p432       | C1           | 3 MED-HIGH     | 713769       | RELAY
396.5      | p191       | p56        | E12          | 1 LOW          | 906075       | RELAY
406.0      | p340       | p270       | C4           | 3 MED-HIGH     | 807910       | RELAY
409.0      | p340       | p270       | C16          | 3 MED-HIGH     | 734237       | RELAY
409.0      | p191       | p193       | E12          | 1 LOW          | 906075       | RELAY
410.0      | p340       | p270       | C15          | 3 MED-HIGH     | 887129       | ABORTED
413.0      | p193       | p191       | E14          | 1 LOW          | 960154       | RELAY
414.5      | p193       | p56        | E14          | 1 LOW          | 960154       | ABORTED
418.5      | p191       | p56        | E14          | 1 LOW          | 960154       | RELAY
425.5      | p434       | p350       | B17          | 4 HIGH         | 765875       | RELAY
429.0      | p434       | p350       | B1           | 4 HIGH         | 859903       | RELAY
431.5      | p260       | p515       | D10          | 2 MEDIUM       | 538097       | RELAY
432.0      | p350       | p434       | C17          | 3 MED-HIGH     | 698671       | RELAY
434.5      | p273       | p434       | D21          | 2 MEDIUM       | 531953       | RELAY
435.0      | p260       | p515       | D18          | 2 MEDIUM       | 778835       | RELAY
437.5      | p434       | p350       | D21          | 2 MEDIUM       | 531953       | RELAY
440.5      | p434       | p273       | C17          | 3 MED-HIGH     | 698671       | RELAY
451.5      | p344       | p266       | C3           | 3 MED-HIGH     | 663336       | RELAY
455.0      | p344       | p266       | C20          | 3 MED-HIGH     | 763934       | RELAY
457.5      | p266       | p344       | D9           | 2 MEDIUM       | 649442       | ABORTED
465.0      | p271       | p53        | D15          | 2 MEDIUM       | 649165       | RELAY
468.5      | p271       | p53        | D14          | 2 MEDIUM       | 796424       | RELAY
475.5      | p355       | p264       | C23          | 3 MED-HIGH     | 596759       | RELAY
476.0      | p355       | p519       | C23          | 3 MED-HIGH     | 596759       | ABORTED
494.5      | p57        | p276       | A2           | 5 DISTRESS     | 737018       | RELAY
499.0      | p195       | p517       | E21          | 1 LOW          | 974991       | RELAY
501.5      | p195       | p517       | E18          | 1 LOW          | 548479       | RELAY
502.5      | p195       | p517       | E5           | 1 LOW          | 986664       | ABORTED
518.0      | p264       | p355       | D25          | 2 MEDIUM       | 989111       | RELAY
525.5      | p513       | p433       | A23          | 5 DISTRESS     | 729051       | RELAY
529.0      | p433       | p513       | B9           | 4 HIGH         | 851828       | RELAY
