==========================================================================
PROPHET ADVANCED MESSAGE TRANSFER REPORT
==========================================================================
SimTime    | From       | To         | MsgID        | Priority       | Size(B)      | Type
==========================================================================
30.5       | p146       | p418       | E1           | 1 LOW          | 804260       | RELAY
58.0       | p58        | c70        | A2           | 5 DISTRESS     | 737018       | ABORTED
69.0       | p413       | c57        | B1           | 4 HIGH         | 859903       | ABORTED
82.0       | p328       | c66        | C1           | 3 MED-HIGH     | 713769       | RELAY
96.0       | c66        | c60        | C1           | 3 MED-HIGH     | 713769       | ABORTED
98.5       | p328       | c60        | C1           | 3 MED-HIGH     | 713769       | ABORTED
114.5      | p326       | c72        | C3           | 3 MED-HIGH     | 663336       | RELAY
123.0      | p143       | t490       | E4           | 1 LOW          | 909546       | RELAY
125.5      | p143       | c61        | E4           | 1 LOW          | 909546       | ABORTED
129.5      | t490       | c61        | E4           | 1 LOW          | 909546       | RELAY
135.5      | p413       | c60        | B1           | 4 HIGH         | 859903       | ABORTED
140.5      | p413       | p323       | B1           | 4 HIGH         | 859903       | RELAY
143.0      | c61        | t383       | E4           | 1 LOW          | 909546       | ABORTED
146.0      | t490       | c65        | E4           | 1 LOW          | 909546       | ABORTED
150.5      | t490       | t383       | E4           | 1 LOW          | 909546       | RELAY
151.5      | t383       | t382       | E4           | 1 LOW          | 909546       | RELAY
152.0      | t383       | t384       | E4           | 1 LOW          | 909546       | RELAY
152.0      | c61        | t385       | E4           | 1 LOW          | 909546       | ABORTED
152.5      | t382       | t385       | E4           | 1 LOW          | 909546       | RELAY
154.0      | t385       | p54        | E4           | 1 LOW          | 909546       | ABORTED
159.5      | p323       | p413       | C5           | 3 MED-HIGH     | 824747       | RELAY
160.5      | p235       | p59        | D4           | 2 MEDIUM       | 637156       | RELAY
177.5      | t384       | t386       | E4           | 1 LOW          | 909546       | RELAY
178.0      | t383       | c60        | E4           | 1 LOW          | 909546       | ABORTED
178.0      | t386       | t387       | E4           | 1 LOW          | 909546       | RELAY
180.5      | c61        | p324       | E4           | 1 LOW          | 909546       | RELAY
180.5      | t382       | p54        | E4           | 1 LOW          | 909546       | ABORTED
185.0      | t387       | t1096      | E4           | 1 LOW          | 909546       | ABORTED
190.0      | p324       | c60        | E4           | 1 LOW          | 909546       | ABORTED
195.5      | c61        | c60        | E4           | 1 LOW          | 909546       | ABORTED
203.0      | p326       | c65        | C3           | 3 MED-HIGH     | 663336       | ABORTED
212.5      | p59        | c62        | D4           | 2 MEDIUM       | 637156       | ABORTED
217.5      | p235       | c62        | D4           | 2 MEDIUM       | 637156       | ABORTED
219.5      | t382       | p54        | E4           | 1 LOW          | 909546       | RELAY
221.0      | p148       | p234       | E7           | 1 LOW          | 959375       | RELAY
221.0      | p143       | t488       | E4           | 1 LOW          | 909546       | ABORTED
228.5      | t383       | t488       | E4           | 1 LOW          | 909546       | ABORTED
232.5      | c61        | c68        | E4           | 1 LOW          | 909546       | ABORTED
234.5      | c61        | c57        | E4           | 1 LOW          | 909546       | ABORTED
235.0      | t382       | t488       | E4           | 1 LOW          | 909546       | ABORTED
236.5      | t490       | t491       | E4           | 1 LOW          | 909546       | RELAY
240.0      | p58        | c60        | A2           | 5 DISTRESS     | 737018       | ABORTED
241.0      | t490       | t492       | E4           | 1 LOW          | 909546       | RELAY
243.0      | t383       | t488       | E4           | 1 LOW          | 909546       | ABORTED
246.5      | p412       | c62        | B6           | 4 HIGH         | 852805       | ABORTED
247.5      | c66        | c56        | C1           | 3 MED-HIGH     | 713769       | ABORTED
250.0      | p143       | t493       | E4           | 1 LOW          | 909546       | ABORTED
252.5      | c61        | w78        | E4           | 1 LOW          | 909546       | RELAY
255.0      | p230       | c60        | D8           | 2 MEDIUM       | 539040       | ABORTED
256.5      | c72        | c56        | C3           | 3 MED-HIGH     | 663336       | ABORTED
261.5      | p413       | p323       | B9           | 4 HIGH         | 851828       | RELAY
261.5      | p320       | p145       | C6           | 3 MED-HIGH     | 809957       | RELAY
268.5      | c72        | c65        | C3           | 3 MED-HIGH     | 663336       | ABORTED
268.5      | t490       | c68        | E4           | 1 LOW          | 909546       | ABORTED
270.5      | t383       | t493       | E4           | 1 LOW          | 909546       | ABORTED
274.5      | t385       | t493       | E4           | 1 LOW          | 909546       | ABORTED
279.5      | c66        | c65        | C1           | 3 MED-HIGH     | 713769       | ABORTED
285.5      | c61        | c57        | E4           | 1 LOW          | 909546       | RELAY
288.0      | t382       | t493       | E4           | 1 LOW          | 909546       | ABORTED
294.5      | p328       | c56        | C7           | 3 MED-HIGH     | 723987       | ABORTED
294.5      | p231       | c70        | D7           | 2 MEDIUM       | 500752       | RELAY
295.5      | p231       | c70        | D1           | 2 MEDIUM       | 966746       | ABORTED
300.5      | p52        | p147       | A9           | 5 DISTRESS     | 508811       | RELAY
303.5      | p147       | p52        | E3           | 1 LOW          | 658109       | RELAY
306.0      | p147       | p52        | E6           | 1 LOW          | 520166       | RELAY
311.5      | p322       | p148       | C2           | 3 MED-HIGH     | 946976       | RELAY
315.5      | p148       | p322       | E7           | 1 LOW          | 959375       | RELAY
317.5      | p413       | p323       | B11          | 4 HIGH         | 849516       | RELAY
322.5      | c61        | p329       | E4           | 1 LOW          | 909546       | RELAY
324.0      | p324       | c53        | C10          | 3 MED-HIGH     | 737099       | ABORTED
326.5      | t384       | t1096      | E4           | 1 LOW          | 909546       | RELAY
327.0      | p324       | t491       | C10          | 3 MED-HIGH     | 737099       | RELAY
327.0      | p237       | c74        | D2           | 2 MEDIUM       | 663906       | RELAY
328.0      | p237       | c74        | D11          | 2 MEDIUM       | 837799       | ABORTED
331.5      | p53        | t386       | A3           | 5 DISTRESS     | 994927       | ABORTED
338.5      | t491       | t493       | C10          | 3 MED-HIGH     | 737099       | ABORTED
341.5      | p324       | c68        | C10          | 3 MED-HIGH     | 737099       | RELAY
342.0      | p324       | c68        | E4           | 1 LOW          | 909546       | ABORTED
345.0      | p324       | t493       | C10          | 3 MED-HIGH     | 737099       | RELAY
347.5      | p54        | c53        | E4           | 1 LOW          | 909546       | RELAY
349.0      | p58        | c74        | A2           | 5 DISTRESS     | 737018       | RELAY
349.0      | p324       | t493       | E4           | 1 LOW          | 909546       | RELAY
352.0      | p323       | c56        | B1           | 4 HIGH         | 859903       | ABORTED
352.0      | p324       | t492       | C10          | 3 MED-HIGH     | 737099       | RELAY
360.0      | p237       | t490       | D11          | 2 MEDIUM       | 837799       | ABORTED
363.0      | p238       | c61        | D6           | 2 MEDIUM       | 579366       | RELAY
364.0      | t384       | t1098      | E4           | 1 LOW          | 909546       | ABORTED
365.5      | p238       | c61        | D10          | 2 MEDIUM       | 538097       | RELAY
368.0      | t1096      | t1098      | E4           | 1 LOW          | 909546       | ABORTED
371.5      | p412       | c62        | B8           | 4 HIGH         | 633383       | RELAY
372.0      | p141       | t490       | E10          | 1 LOW          | 798297       | ABORTED
378.5      | p230       | c60        | D3           | 2 MEDIUM       | 992314       | ABORTED
381.5      | p50        | c72        | A13          | 5 DISTRESS     | 528341       | RELAY
382.0      | c72        | p50        | C3           | 3 MED-HIGH     | 663336       | ABORTED
385.0      | p235       | c62        | D4           | 2 MEDIUM       | 637156       | ABORTED
388.0      | p54        | c68        | E4           | 1 LOW          | 909546       | RELAY
389.5      | t1096      | t1099      | E4           | 1 LOW          | 909546       | ABORTED
391.0      | c68        | p54        | C10          | 3 MED-HIGH     | 737099       | RELAY
401.0      | c53        | c56        | E4           | 1 LOW          | 909546       | ABORTED
404.5      | c66        | c69        | C1           | 3 MED-HIGH     | 713769       | ABORTED
405.0      | p52        | p55        | E3           | 1 LOW          | 658109       | RELAY
405.0      | t383       | c56        | E4           | 1 LOW          | 909546       | ABORTED
407.5      | p52        | p55        | E6           | 1 LOW          | 520166       | RELAY
409.0      | c53        | t488       | E4           | 1 LOW          | 909546       | ABORTED
410.0      | p52        | p55        | A9           | 5 DISTRESS     | 508811       | RELAY
413.0      | p55        | p52        | A7           | 5 DISTRESS     | 641233       | RELAY
413.5      | t382       | c56        | E4           | 1 LOW          | 909546       | ABORTED
415.0      | c57        | p416       | E4           | 1 LOW          | 909546       | RELAY
416.0      | p55        | p52        | A12          | 5 DISTRESS     | 852921       | ABORTED
418.5      | c68        | c56        | C10          | 3 MED-HIGH     | 737099       | ABORTED
422.0      | p59        | c62        | D4           | 2 MEDIUM       | 637156       | ABORTED
423.5      | t490       | t494       | E4           | 1 LOW          | 909546       | RELAY
426.0      | p54        | c56        | C10          | 3 MED-HIGH     | 737099       | ABORTED
428.5      | p324       | c57        | C10          | 3 MED-HIGH     | 737099       | ABORTED
434.0      | t384       | t1098      | E4           | 1 LOW          | 909546       | RELAY
437.5      | p146       | p414       | E1           | 1 LOW          | 804260       | RELAY
