==========================================================================
PROPHET ADVANCED MESSAGE TRANSFER REPORT
==========================================================================
SimTime    | From       | To         | MsgID        | Priority       | Size(B)      | Type
==========================================================================
30.5       | p146       | p418       | E1           | 1 LOW          | 804260       | RELAY
58.0       | p58        | c70        | A2           | 5 DISTRESS     | 737018       | ABORTED
69.0       | p413       | c57        | B1           | 4 HIGH         | 859903       | ABORTED
82.0       | p328       | c66        | C1           | 3 MED-HIGH     | 713769       | RELAY
96.0       | c66        | c60        | C1           | 3 MED-HIGH     | 713769       | ABORTED
98.5       | p328       | c60        | C1           | 3 MED-HIGH     | 713769       | ABORTED
114.5      | p326       | c72        | C3           | 3 MED-HIGH     | 663336       | RELAY
123.0      | p143       | t490       | E4           | 1 LOW          | 909546       | RELAY
125.5      | p143       | c61        | E4           | 1 LOW          | 909546       | ABORTED
129.5      | t490       | c61        | E4           | 1 LOW          | 909546       | RELAY
135.5      | p413       | c60        | B1           | 4 HIGH         | 859903       | ABORTED
140.5      | p413       | p323       | B1           | 4 HIGH         | 859903       | RELAY
146.0      | t490       | c65        | E4           | 1 LOW          | 909546       | ABORTED
150.5      | t490       | t383       | E4           | 1 LOW          | 909546       | RELAY
159.5      | p323       | p413       | C5           | 3 MED-HIGH     | 824747       | RELAY
160.5      | p235       | p59        | D4           | 2 MEDIUM       | 637156       | RELAY
203.0      | p326       | c65        | C3           | 3 MED-HIGH     | 663336       | ABORTED
212.5      | p59        | c62        | D4           | 2 MEDIUM       | 637156       | ABORTED
217.5      | p235       | c62        | D4           | 2 MEDIUM       | 637156       | ABORTED
221.0      | p148       | p234       | E7           | 1 LOW          | 959375       | RELAY
221.0      | p143       | t488       | E4           | 1 LOW          | 909546       | ABORTED
240.0      | p58        | c60        | A2           | 5 DISTRESS     | 737018       | ABORTED
246.5      | p412       | c62        | B6           | 4 HIGH         | 852805       | ABORTED
247.5      | c66        | c56        | C1           | 3 MED-HIGH     | 713769       | ABORTED
250.0      | p143       | t493       | E4           | 1 LOW          | 909546       | ABORTED
255.0      | p230       | c60        | D8           | 2 MEDIUM       | 539040       | ABORTED
256.5      | c72        | c56        | C3           | 3 MED-HIGH     | 663336       | ABORTED
261.5      | p413       | p323       | B9           | 4 HIGH         | 851828       | RELAY
261.5      | p320       | p145       | C6           | 3 MED-HIGH     | 809957       | RELAY
268.5      | c72        | c65        | C3           | 3 MED-HIGH     | 663336       | ABORTED
279.5      | c66        | c65        | C1           | 3 MED-HIGH     | 713769       | ABORTED
294.5      | p328       | c56        | C7           | 3 MED-HIGH     | 723987       | ABORTED
294.5      | p231       | c70        | D7           | 2 MEDIUM       | 500752       | RELAY
295.5      | p231       | c70        | D1           | 2 MEDIUM       | 966746       | ABORTED
300.5      | p52        | p147       | A9           | 5 DISTRESS     | 508811       | RELAY
303.5      | p147       | p52        | E3           | 1 LOW          | 658109       | RELAY
306.0      | p147       | p52        | E6           | 1 LOW          | 520166       | RELAY
311.5      | p322       | p148       | C2           | 3 MED-HIGH     | 946976       | RELAY
315.5      | p148       | p322       | E7           | 1 LOW          | 959375       | RELAY
317.5      | p413       | p323       | B11          | 4 HIGH         | 849516       | RELAY
324.0      | p324       | c53        | C10          | 3 MED-HIGH     | 737099       | ABORTED
327.0      | p324       | t491       | C10          | 3 MED-HIGH     | 737099       | RELAY
327.0      | p237       | c74        | D2           | 2 MEDIUM       | 663906       | RELAY
328.0      | p237       | c74        | D11          | 2 MEDIUM       | 837799       | ABORTED
331.5      | p53        | t386       | A3           | 5 DISTRESS     | 994927       | ABORTED
338.5      | t491       | t493       | C10          | 3 MED-HIGH     | 737099       | ABORTED
341.5      | p324       | c68        | C10          | 3 MED-HIGH     | 737099       | RELAY
344.0      | p143       | t385       | E4           | 1 LOW          | 909546       | ABORTED
344.5      | p324       | t493       | C10          | 3 MED-HIGH     | 737099       | RELAY
349.0      | p58        | c74        | A2           | 5 DISTRESS     | 737018       | RELAY
352.0      | p323       | c56        | B1           | 4 HIGH         | 859903       | ABORTED
360.0      | p237       | t490       | D11          | 2 MEDIUM       | 837799       | ABORTED
363.0      | p238       | c61        | D6           | 2 MEDIUM       | 579366       | RELAY
365.5      | p238       | c61        | D10          | 2 MEDIUM       | 538097       | RELAY
371.5      | p412       | c62        | B8           | 4 HIGH         | 633383       | RELAY
372.0      | p141       | t490       | E10          | 1 LOW          | 798297       | ABORTED
378.5      | p230       | c60        | D3           | 2 MEDIUM       | 992314       | ABORTED
381.5      | p50        | c72        | A13          | 5 DISTRESS     | 528341       | RELAY
382.0      | c72        | p50        | C3           | 3 MED-HIGH     | 663336       | ABORTED
385.0      | p235       | c62        | D4           | 2 MEDIUM       | 637156       | ABORTED
404.5      | c66        | c69        | C1           | 3 MED-HIGH     | 713769       | ABORTED
405.0      | p52        | p55        | E3           | 1 LOW          | 658109       | RELAY
407.5      | p52        | p55        | E6           | 1 LOW          | 520166       | RELAY
410.0      | p52        | p55        | A9           | 5 DISTRESS     | 508811       | RELAY
413.5      | p55        | p52        | A12          | 5 DISTRESS     | 852921       | RELAY
416.0      | p55        | p52        | A7           | 5 DISTRESS     | 641233       | ABORTED
422.0      | p59        | c62        | D4           | 2 MEDIUM       | 637156       | ABORTED
437.5      | p146       | p414       | E1           | 1 LOW          | 804260       | RELAY
441.5      | p322       | c51        | C11          | 3 MED-HIGH     | 928171       | ABORTED
448.5      | p412       | p235       | B6           | 4 HIGH         | 852805       | RELAY
450.5      | p143       | t385       | E13          | 1 LOW          | 577812       | RELAY
452.5      | p412       | p235       | B12          | 4 HIGH         | 917616       | RELAY
454.5      | p143       | t385       | E4           | 1 LOW          | 909546       | RELAY
456.5      | p412       | p235       | B15          | 4 HIGH         | 967836       | RELAY
456.5      | c62        | c55        | B8           | 4 HIGH         | 633383       | ABORTED
457.0      | p412       | p235       | B10          | 4 HIGH         | 976899       | ABORTED
457.0      | p143       | t383       | E13          | 1 LOW          | 577812       | RELAY
457.0      | t385       | t488       | E13          | 1 LOW          | 577812       | RELAY
459.5      | t385       | c68        | E13          | 1 LOW          | 577812       | RELAY
460.0      | p326       | t489       | C3           | 3 MED-HIGH     | 663336       | ABORTED
461.0      | p51        | c63        | A10          | 5 DISTRESS     | 757498       | RELAY
461.5      | p143       | t488       | E4           | 1 LOW          | 909546       | RELAY
463.5      | p51        | c63        | A5           | 5 DISTRESS     | 550837       | RELAY
476.5      | p141       | t494       | E10          | 1 LOW          | 798297       | ABORTED
479.0      | p322       | p234       | C11          | 3 MED-HIGH     | 928171       | RELAY
480.5      | p59        | c55        | D4           | 2 MEDIUM       | 637156       | ABORTED
483.0      | p58        | t494       | A2           | 5 DISTRESS     | 737018       | ABORTED
483.0      | p322       | p234       | C2           | 3 MED-HIGH     | 946976       | RELAY
484.5      | p51        | c63        | A17          | 5 DISTRESS     | 564263       | ABORTED
486.0      | p234       | p322       | D13          | 2 MEDIUM       | 702709       | RELAY
487.5      | p54        | c57        | A15          | 5 DISTRESS     | 685402       | RELAY
487.5      | p328       | c69        | C7           | 3 MED-HIGH     | 723987       | ABORTED
490.0      | p237       | c52        | D15          | 2 MEDIUM       | 649165       | RELAY
496.5      | c52        | c56        | D15          | 2 MEDIUM       | 649165       | ABORTED
497.0      | p53        | p142       | A3           | 5 DISTRESS     | 994927       | RELAY
500.5      | p142       | p53        | E9           | 1 LOW          | 873887       | RELAY
502.5      | p237       | c56        | D15          | 2 MEDIUM       | 649165       | ABORTED
502.5      | c62        | c50        | B8           | 4 HIGH         | 633383       | ABORTED
505.0      | p58        | c56        | A2           | 5 DISTRESS     | 737018       | ABORTED
510.5      | p58        | p237       | A2           | 5 DISTRESS     | 737018       | RELAY
510.5      | p326       | p143       | C3           | 3 MED-HIGH     | 663336       | RELAY
511.0      | p141       | c56        | E10          | 1 LOW          | 798297       | ABORTED
511.5      | p412       | c55        | B15          | 4 HIGH         | 967836       | ABORTED
513.0      | p58        | p237       | A11          | 5 DISTRESS     | 585481       | RELAY
513.0      | p143       | p326       | E13          | 1 LOW          | 577812       | RELAY
516.5      | p237       | p58        | D11          | 2 MEDIUM       | 837799       | RELAY
516.5      | c57        | t488       | A15          | 5 DISTRESS     | 685402       | RELAY
517.5      | p237       | p58        | D2           | 2 MEDIUM       | 663906       | ABORTED
518.5      | c57        | t382       | A15          | 5 DISTRESS     | 685402       | ABORTED
520.0      | p413       | c53        | C5           | 3 MED-HIGH     | 824747       | RELAY
520.5      | p235       | c55        | B12          | 4 HIGH         | 917616       | ABORTED
521.5      | p413       | c53        | B11          | 4 HIGH         | 849516       | ABORTED
522.0      | c57        | t383       | A15          | 5 DISTRESS     | 685402       | RELAY
524.5      | p326       | t489       | C3           | 3 MED-HIGH     | 663336       | RELAY
