Algorithm,Buffer_MB,Mean_Overhead,SD_Overhead,Peak_Overhead
Prophet,10.0,79.504,8.1003,100.0
Prophet,20.0,73.1653,12.4694,99.9999
Prophet,30.0,63.7435,13.7334,100.0
Prophet,40.0,52.8846,13.9171,99.9931
Prophet,50.0,45.1182,13.3232,99.997
Prophet,60.0,38.701,13.3353,100.0
Prophet,70.0,34.7539,12.7526,99.9212
Prophet,80.0,30.6489,11.7786,99.9467
Prophet,90.0,27.2794,10.696,99.81
Prophet,100.0,24.0839,9.753,99.6
Epedemic,10.0,83.953,6.3661,106.1314
Epedemic,20.0,74.5334,13.899,103.7966
Epedemic,30.0,64.5558,18.0591,102.3294
Epedemic,40.0,55.5977,19.222,101.1973
Epedemic,50.0,49.9523,20.6436,100.9532
Epedemic,60.0,43.2511,19.9541,100.6601
Epedemic,70.0,38.3288,19.3268,99.9998
Epedemic,80.0,35.1369,18.1332,100.8321
Epedemic,90.0,31.7553,17.7779,100.9932
Epedemic,100.0,28.419,16.7026,100.6432
