nodes,priority,delivery_mean,latency_mean,hop_mean
25,5,38.68300000000001,7342.549499999999,0.122
25,4,35.644999999999996,7344.969499999997,0.29300000000000004
25,3,31.3625,7177.027,0.34750000000000003
25,2,27.8685,7134.6775,0.372
25,1,24.3035,7398.8725,0.38849999999999996
25,0,0.0,0.0,0.0
50,5,52.39799999999999,7404.919500000001,0.63
50,4,51.67900000000001,7409.924000000001,0.7259999999999999
50,3,49.992999999999995,7462.4259999999995,0.6809999999999999
50,2,48.262499999999996,7469.3055,0.6604999999999999
50,1,48.320499999999996,7583.384500000002,1.414
50,0,0.0,0.0,0.0
75,5,56.56700000000001,7460.593999999999,1.287
75,4,55.67750000000001,7347.657499999999,1.0885000000000002
75,3,54.8625,7424.794,1.2890000000000001
75,2,55.9365,7392.789999999999,1.9974999999999998
75,1,52.886,7346.981999999999,1.7439999999999998
75,0,0.0,0.0,0.0
100,5,57.98350000000001,7424.183999999999,1.9799999999999998
100,4,56.26400000000001,7307.379499999998,1.3844999999999998
100,3,55.24849999999999,7301.082500000001,1.884
100,2,53.6595,7216.333500000001,1.6195
100,1,54.72950000000001,7195.15,3.9830000000000005
100,0,0.0,0.0,0.0
150,5,56.64200000000001,7408.098999999999,3.309
150,4,54.6545,7245.63,2.663
150,3,55.189,7197.932000000001,3.9875
150,2,54.723,7037.129500000001,6.616
150,1,37.06349999999999,5981.985,1.331
150,0,0.0,0.0,0.0
200,5,52.6365,7328.363500000001,4.435499999999999
200,4,51.7365,7137.8605,4.593500000000001
200,3,54.963,6831.3125,11.7065
200,2,37.4075,6277.2415,2.2045000000000003
200,1,29.216500000000003,5423.9794999999995,2.0245000000000006
200,0,0.0,0.0,0.0
250,5,49.931999999999995,7296.166,5.5975
250,4,50.145,6926.165999999999,11.7995
250,3,44.111000000000004,6644.5265,10.606
250,2,32.196000000000005,5900.030500000001,3.1390000000000002
250,1,24.618,5123.318499999999,3.2184999999999997
250,0,0.0,0.0,0.0
300,5,42.773999999999994,7165.6105,6.8835
300,4,46.924,6590.794500000001,21.431
300,3,33.1245,6373.3625,5.172
300,2,26.657000000000004,5690.3904999999995,4.651999999999999
300,1,21.171999999999997,4969.7255,5.101
300,0,0.0,0.0,0.0
400,5,36.913999999999994,7022.728,9.746500000000001
400,4,37.195499999999996,6229.795500000001,28.929000000000002
400,3,25.2105,5876.8279999999995,8.360499999999998
400,2,20.940000000000005,5320.753,8.827
400,1,16.148000000000003,4638.512000000001,10.038
400,0,0.0,0.0,0.0
